FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung,uni_mean,distance,similar_no,no_stat
0,0,3,逢甲大學應用數學系,東吳大學數學系,國立東華大學應用數學系數學科學組,0,0,0,0,0,0,0,0,臺北市,1,0.3333333333333333,1,0.3333333333333333,4,1.3333333333333333,0,3,184.375,5,13,0
0,0,3,逢甲大學應用數學系,中原大學應用數學系,東海大學統計學系(自然組),0,0,0,0,0,0,0,0,新竹市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,1,202.0,3,10,1
0,0,4,逢甲大學應用數學系,靜宜大學財務金融學系,靜宜大學財務金融學系-類繁星,靜宜大學資訊工程學系,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.25,1,0.25,1,0,207.75,0,6,0
1,1,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,基隆市,0,0.0,1,0.5,2,1.0,0,3,207.625,5,11,0
1,1,10,逢甲大學應用數學系,淡江大學數學學系資料科學與數理統計組,國立屏東教育大學社會發展學系,國立屏東教育大學應用數學系,國立台東大學數學系,國立嘉義大學木質材料與設計學系,國立屏東科技大學水土保持系,朝陽科技大學工業工程與管理系,弘光科技大學食品科技系,中台科技大學食品科技系,0,臺北市,5,0.5,1,0.1,4,0.4,0,3,296.5,5,15,1
1,1,6,逢甲大學應用數學系,高雄醫學大學醫學影像暨放射科學系,東海大學社會工作學系,中山醫學大學職能治療學系,國立中正大學心理學系,國立臺北大學社會工作學系,0,0,0,0,0,澎湖縣,2,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666,0,3,300.5,7,8,0
1,1,2,逢甲大學應用數學系,國立屏東大學應用數學系,0,0,0,0,0,0,0,0,0,高雄市,1,0.5,1,0.5,2,1.0,0,2,173.25,4,11,0
1,1,2,逢甲大學應用數學系,義守大學應用數學系資訊科學組,0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.5,2,1.0,0,2,178.0,4,9,0
0,0,2,逢甲大學應用數學系,東海大學經濟學系一般經濟組,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,1,0.5,1,0,219.375,0,6,0
0,0,5,逢甲大學應用數學系,中原大學應用數學系,中原大學機械工程學系,逢甲大學機械與電腦輔助工程學系,元智大學機械工程學系,0,0,0,0,0,0,桃園市,0,0.0,2,0.4,2,0.4,0,2,256.25,3,16,0
1,0,5,逢甲大學應用數學系,逢甲大學工業工程與系統管理學系,逢甲大學航太與系統工程學系,逢甲大學統計學系,逢甲大學資訊電機學院不分系榮譽班,0,0,0,0,0,0,臺中市,0,0.0,5,1.0,1,0.2,1,0,309.75,0,17,1
